PostContent,PostImg
"PRACOWNIK BUDOWLANY Sprawdź całą ofertę: https://oferty-pracy.work/o/niemcy/pracownik-budowlany-okolice-trewiru-3000-euro-457731?utm_source=GR-B-DE-12&utm_medium=post&utm_campaign=fb",https://c2.staticflickr.com/4/3834/12924164783_ac4795912b_b.jpg
"SPAWACZ MAG Przeczytaj pełną ofertę: https://oferty-pracy.work/o/niemcy/spawacz-mag-8-457704?utm_source=GR-B-DE-12&utm_medium=post&utm_campaign=fb",https://c2.staticflickr.com/2/1410/531924576_78eb36ae2d_z.jpg
